"Troop            (A, B, C, D...)",Focal Lemur,Species,Sex,Month,Day,Year,Time (H:M:S),Category,"Focal sample note                                                                                                                                                     (please include as much detail as possible.  If a note is about a grooming bout, for example, include stop time in the same cell)"
P,Rico,Emon,M,6,16,2022,10:39:09,R,Rico rests on branch
P,Rico,Emon,M,6,16,2022,10:39:50,Sm,Rico scent marks a branch
P,Rico,Emon,M,6,16,2022,10:46:44,L,Rico locomotes
P,Rico,Emon,M,6,16,2022,10:41:07,Voc,Rico makes chattering noise
P,Rico,Emon,M,6,16,2022,10:41:44,L,Rico walks across branch
P,Rico,Emon,M,6,16,2022,10:42:06,D,Rico poops
P,Rico,Emon,M,6,16,2022,10:47:13,L,Rico jumps to other branch
P,Rico,Emon,M,6,16,2022,10:43:07,"L, G Lh",Rico leaps to a branch and grabs it with his left hand first
P,Rico,Emon,M,6,16,2022,10:45:18,R,Rico rests
P,Rico,Emon,M,6,16,2022,10:46:23,"L, G Rh",Rico leaps to branch and grabs it with his left hand first
P,Rico,Emon,M,6,16,2022,10:47:40,R,Rico rests
P,Rico,Emon,M,6,16,2022,10:48:44,"L, G Lh",Rico leaps and grabs the branch with his left hand first
P,Rico,Emon,M,6,16,2022,10:52:03,"L, G Rh",Rico leaps and grabs the branch with his right hand first
P,Rico,Emon,M,6,16,2022,10:52:23,G Lh,Rico grabs a branch with his left hand
P,Rico,Emon,M,6,16,2022,10:56:00,"L, G Rh",Rico leaps and grabs the branch with his right hand first
P,Rico,Emon,M,6,16,2022,10:59:30,"L, G Rh",Rico leaps and grabs the branch with his right hand first
P,Rico,Emon,M,6,16,2022,11:00:30,L,Rico climbs across wall
P,Rico,Emon,M,6,16,2022,11:08:38,L Rh,Rico leaps and grabs branch with his right hand first. He lept a little slower than usual so his branch grab was very clear this time!
P,Rico,Emon,M,6,16,2022,11:14:53,E,Rico eats diet with his entire head in the bowl
P,Rico,Emon,M,6,16,2022,11:15:19,G E Rh,Rico picks up food from bowl and eats it out of his right hand
P,Rico,Emon,M,6,16,2022,11:17:39,Ho E Rh,Rico holds food (cucumber slice) in right hand and eats it from his right hand
P,Rico,Emon,M,6,16,2022,11:23:00,E Lh,Rico eats chow from his left hand
P,Rico,Emon,M,6,16,2022,11:24:32,E Lh,Rico eats chow from his left hand
P,Rico,Emon,M,6,16,2022,11:28:21,E Lh,Rico eats diet from left hand
P,Rico,Emon,M,6,16,2022,11:29:40,F Rh,Rico fishes around food bowl with right hand and picks up a piece of food. 
P,Rico,Emon,M,6,16,2022,11:29:40,E Lh,Rico switches the food to his left hand and eats out of his left hand.
P,Rico,Emon,M,6,16,2022,11:33:37,G E Rh,Rico picks up food and eats it from his right hand
P,Rico,Emon,M,6,16,2022,11:34:23,G E Lh,Rico picks up food and eats it with his left hand
P,Rico,Emon,M,6,16,2022,11:34:58,G E Rh,Rico picks up food and eats it from his right hand
P,Rico,Emon,M,6,16,2022,11:36:43,F Rh?,"Rico fishes for food with right hand, but then switches the food to his left hand"
P,Rico,Emon,M,6,16,2022,11:37:14,E Rh?,"Rico fishes through bowl and eats from his right hand, then switches the food to his left hand"
P,Rico,Emon,M,6,16,2022,11:38:27,G E Rh,Rico grabs food and eats it using his right hand
M,Sophia,Lcat,F,6,21,2022,9:24:13,F,Forage with mouth
M,Sophia,Lcat,F,6,21,2022,9:25:12,G Rh,Sophia grasps structure starting with right hand
M,Sophia,Lcat,F,6,21,2022,9:35:25,Sg,Sophia self-grooms. Ends at 9:35:40
M,Sophia,Lcat,F,6,21,2022,9:37:06,CL Rf,"Sophia crosses her legs, with her right foot on top"
M,Sophia,Lcat,F,6,21,2022,9:39:43,Sg,Sophia self-grooms and immediately stops
M,Sophia,Lcat,F,6,21,2022,9:45:33,Sg,Sophia self-grooms the right side of her body
M,Sophia,Lcat,F,6,21,2022,9:52:56,G Rh,Sophia climbs down starting with her right hand
M,Sophia,Lcat,F,6,21,2022,9:57:25,Cl Rf,"Sophia crosses her legs, with her right foot on top"
M,Sophia,Lcat,F,6,21,2022,9:58:05,Bp Lf,"Sophia locomotes bipedally, starting with her Left foot"
M,Sophia,Lcat,F,6,21,2022,9:58:40,Cl Rf,"Sophia crosses her legs, with her right foot on top"
M,Sophia,Lcat,F,6,21,2022,10:08:02,Cl Rf,"Sophia crosses her legs, with her right foot on top. She then re-crosses her legs, more obviously with right foot on top this time. She uncrosses them at 10:08:33"
M,Sophia,Lcat,F,6,21,2022,10:09:15,Cl Rf,"Sophia crosses her legs, with her right foot on top"
M,Sophia,Lcat,F,6,21,2022,10:13:18,Cl Rf,"Sophia crosses her legs, with her right foot on top"
M,Sophia,Lcat,F,6,21,2022,10:15:17,Cl Rf,"Sophia crosses her legs, with her right foot on top"
X,Sierra Mist,Lcat,F,6,22,2022,7:26:20,F Rh,Sierra Mist forages (locust plant). She is grabbing the plant with her right hand on top.
X,Sierra Mist,Lcat,F,6,22,2022,7:27:36,E Rh,Eats locust with right hand
X,Sierra Mist,Lcat,F,6,22,2022,7:53:41,Sg,Sierra Mist has just been resting and grooming herself for the past 25 minutes. Not a lot of hand or foot usage going on.
X,Sierra Mist,Lcat,F,6,22,2022,7:59:52,G Rh,Sierra goes to lower tree limb. She holds onto the tree limb with her right hand.
X,Sierra Mist,Lcat,F,6,22,2022,8:03:20,L,
X,Sierra Mist,Lcat,F,6,22,2022,8:03:52,Dr,Drinks from water bowl
X,Sierra Mist,Lcat,F,6,22,2022,8:05:09,E Rh,Eats unknown plant from right hand
X,Sierra Mist,Lcat,F,6,22,2022,8:06:13,D,Sierra poops
X,Sierra Mist,Lcat,F,6,22,2022,8:06:30,E Rh,Sierra eats unknown leaf from her right hand
X,Sierra Mist,Lcat,F,6,22,2022,8:07:25,R,Sierra sits in a tree on a branch
X,Sierra Mist,Lcat,F,6,22,2022,8:07:59,La Lf,Sierra lands on the ground with her left foot touching the ground first
X,Sierra Mist,Lcat,F,6,22,2022,8:12:14,QP Rh,Walks on 4 legs. Right hand is first to move.
X,Sierra Mist,Lcat,F,6,22,2022,8:12:50,F Rh,Forages with right hand
X,Sierra Mist,Lcat,F,6,22,2022,8:16:43,F Rh,Forages with right hand
X,Sierra Mist,Lcat,F,6,22,2022,8:18:45,F Rh,Forages with right hand
X,Licinius,Lcat,M,6,22,2022,9:28:51,G Rh,Grasp branch with right hand on top
X,Licinius,Lcat,M,6,22,2022,9:29:50,F Rh,Forage with right hand
X,Licinius,Lcat,M,6,22,2022,9:33:10,F Lh,Forage with left hand
X,Licinius,Lcat,M,6,22,2022,9:33:45,F Rh,Forage with right hand
X,Licinius,Lcat,M,6,22,2022,9:45:30,F Lh,Forage with left hand
X,Licinius,Lcat,M,6,22,2022,9:46:20,Bp Lf,"Go upstairs, starting with left foot"
X,Licinius,Lcat,M,6,22,2022,9:47:44,F Lh,Forage with left hand
X,Licinius,Lcat,M,6,22,2022,9:50:25,Bp Lf,"Go downstairs, starting with left foot"
X,Licinius,Lcat,M,6,22,2022,10:02:29,G Rh,Grasp branch with right hand on top
P,Carolina,Emon,F,6,23,2022,8:32:36,G Rh,Grasp branch with right hand
P,Carolina,Emon,F,6,23,2022,8:32:57,F Rh,Forage with right hand (silverberry)
P,Carolina,Emon,F,6,23,2022,8:33:29,F Rh,Forage with right hand (silverberry)
P,Carolina,Emon,F,6,23,2022,8:34:56,F Lh,Forage with left hand (silverberry)
P,Carolina,Emon,F,6,23,2022,8:37:50,G Lh,Grab branch with left hand first
P,Carolina,Emon,F,6,23,2022,8:38:07,F Rh,Forage with right hand
P,Carolina,Emon,F,6,23,2022,8:39:04,F Lh,Forage with left hand
P,Carolina,Emon,F,6,23,2022,8:39:57,F Rh,"Forages with right hand (doesn't eat, but grabs branch as if she's going to forage)"
P,Carolina,Emon,F,6,23,2022,8:40:24,E Rh,Eats silverberry out of right hand
P,Carolina,Emon,F,6,23,2022,8:41:31,G Lh,"Leap to branch, grabbing it with left hand on top"
P,Carolina,Emon,F,6,23,2022,8:45:22,Sg,"Lick right foot. At 8:46:40, pick fur off nose with right hand"
P,Carolina,Emon,F,6,23,2022,8:48:00,G Rh,"Leap to branch, grabbing it with right hand on top"
P,Carolina,Emon,F,6,23,2022,8:51:59,F Rh,Forage with right hand (maple)
P,Carolina,Emon,F,6,23,2022,8:53:50,G,Grasp branch (couldn't tell which hand grabbed it first)
P,Carolina,Emon,F,6,23,2022,9:11:03,G Rh,Grasp branch with right hadn
P,Carolina,Emon,F,6,23,2022,9:14:08,H,Huddle with Rico and rest
P,Carolina,Emon,F,6,23,2022,9:19:10,L,Walk across branch
P,Carolina,Emon,F,6,23,2022,9:21:52,F Lh?,"Forage with left hand, then switch to right"
P,Carolina,Emon,F,6,23,2022,9:23:09,G Rh,"Leap to other branch, grasping it with right hand first"
P,Carolina,Emon,F,6,23,2022,9:26:18,G Rh,"Leap to branch, grasping it with right hand first (right hand is on top)"
M,Randy,Lcat,M,6,23,2022,9:37:17,R,Randy rests
M,Randy,Lcat,M,6,23,2022,9:49:20,HC Rh,"Randy clasps hands, right hand is on top"
M,Randy,Lcat,M,6,23,2022,10:04:08,Sg Rf,"Uses right foot to scratch right eat, lick right foot"
M,Randy,Lcat,M,6,23,2022,10:05:59,E Rh,Eat chow with right hand. Now locked in outdoor cage.
M,Randy,Lcat,M,6,23,2022,10:07:43,E Rh,Eat chow with right hand.
M,Randy,Lcat,M,6,23,2022,10:12:08,E Rh,Eat broccoli with right hand
M,Randy,Lcat,M,6,23,2022,10:14:54,E Rh,Eat chow with right hand
Furia,Furia,Pcoq,F,6,24,2022,8:26:37,R,Sitting on tree limb holding it w/ both hands and feet
Furia,Furia,Pcoq,F,6,24,2022,8:32:59,Sg Rf,Self-groom with right foot
Furia,Furia,Pcoq,F,6,24,2022,8:33:33,G Lh?,"Rest while holding branch to left hand, then switch to right hand."
Furia,Furia,Pcoq,F,6,24,2022,8:35:23,Cl Lf,Cross legs with left foot on top
Furia,Furia,Pcoq,F,6,24,2022,8:44:32,G Lh,Leap and grasp branch with left hand on top
Furia,Furia,Pcoq,F,6,24,2022,8:45:46,G Lh,Leap to branch. Grasps branch with left hand on top.
Furia,Furia,Pcoq,F,6,24,2022,8:46:42,Bp Rf,Move bipedally with right foot in front. Stop at 8:47
Furia,Furia,Pcoq,F,6,24,2022,8:49:40,Bp Rf,Move bipedally with right foot in front. Stop at 8:51:40
Furia,Furia,Pcoq,F,6,24,2022,8:52:14,Bp Rf,Move bipedally with right foot in front. Stop at 8:52:38
Furia,Furia,Pcoq,F,6,24,2022,8:54:33,Bp Rf,Move bipedally with right foot in front.
Furia,Furia,Pcoq,F,6,24,2022,8:56:33,Bp Lf,Move bipedally with left foot in front. Very short duration. Approx 3 seconds or less.
Furia,Furia,Pcoq,F,6,24,2022,8:57:34,Bp Lf,Move bipedally with left foot in front. Very short duration. Approx 2 seconds or less.
Furia,Furia,Pcoq,F,6,24,2022,8:57:55,Bp Lf,Move bipedally with left foot in front. Very short duration. Approx 4 seconds or less.
Furia,Furia,Pcoq,F,6,24,2022,8:58:25,Bp Rf,Move bipedally for short duration (approx 3 sec) with right foot in front
Furia,Furia,Pcoq,F,6,24,2022,9:01:47,Bp Rf,Move bipedally for short duration (approx 3 sec) with right foot in front
Furia,Furia,Pcoq,F,6,24,2022,9:04:34,F Lh,Forage with left hand
Furia,Furia,Pcoq,F,6,24,2022,9:09:00,G Rh,Leap to branch. Grasp with right hand on top.
Furia,Furia,Pcoq,F,6,24,2022,9:10:30,Bp Rf,Move bipedally with right foot in front. Stop at 9:10:50
Furia,Furia,Pcoq,F,6,24,2022,9:12:34,Bp Rf,Move bipedally with right foot in front. Stop at 9:13:00
Furia,Furia,Pcoq,F,6,24,2022,9:14:49,Bp Rf,"Move bipedally with right foot in front for approx 4 sec, then stop. Then do it again for approx 4 sec."
Furia,Furia,Pcoq,F,6,24,2022,9:18:00,Bp both,Furia moves bipedally back and forth at door. She continuously switches which foot is in front as she moves from left to right over and over.
Furia,Furia,Pcoq,F,6,24,2022,9:21:36,Bp Rf,Moves bipedally with right foot in front. Stop at 9:21:46
Furia,Furia,Pcoq,F,6,24,2022,9:22:48,Bp Rf,Move bipedally with right foot in front. Stop at 9:22:52
Furia,Furia,Pcoq,F,6,24,2022,9:30:16,G Rh,Leap and grasp branch with right hand first.
Maddie,Duggan,Emon,M,6,24,2022,9:55:02,E Rh,Duggan eats chow with his right hand
Maddie,Duggan,Emon,M,6,24,2022,10:02:24,Qp Rh,"Duggan walks on all 4, starting with his right front limb."
Maddie,Duggan,Emon,M,6,24,2022,10:05:56,Sg,Duggan is just hanging out and licking his tail. He stops at 10:06:20
Maddie,Duggan,Emon,M,6,24,2022,10:12:51,R Ag,Duggan is resting. At 10:13:25 he grooms Clarence.
Maddie,Duggan,Emon,M,6,24,2022,10:15:05,Sg,Duggan self-grooms.
Maddie,Duggan,Emon,M,6,24,2022,10:17:13,R,Duggan rests. It's very hot out so he's not being very active.
Maddie,Duggan,Emon,M,6,24,2022,10:20:23,Sg Li Lh,Duggan self-grooms my licking his left hand. I guess he could also be doing it to cool himself down. He stops at 10:25:30
Maddie,Duggan,Emon,M,6,24,2022,10:21:32,Ag,Duggan alll-grooms Clarence and Maddie. He stops at 10:25:30.
Maddie,Duggan,Emon,M,6,24,2022,10:26:15,Sm,Duggan scent marks a branch
Maddie,Duggan,Emon,M,6,24,2022,10:27:40,Qp Lh,Duggan moves on all 4s. He moves his left hand first.
Maddie,Duggan,Emon,M,6,24,2022,10:29:01,Sm,Scent marks platform in enclosure.
Maddie,Duggan,Emon,M,6,24,2022,10:30:52,Qp Rh,"Moves on all 4s, starting with right hand."
Maddie,Duggan,Emon,M,6,24,2022,10:36:59,Qp Rh,"Moves on all 4s, starting with right hand."
Maddie,Duggan,Emon,M,6,24,2022,10:37:46,G Lh,Duggan leaps to branch in enclosure. He grabs it with his left hand first.
Maddie,Duggan,Emon,M,6,24,2022,10:38:08,G Rh,Duggan grabs his swing with his left hand first
Maddie,Duggan,Emon,M,6,24,2022,10:38:38,G Rh,Duggan grabs his swing with his right hand first
Maddie,Duggan,Emon,M,6,24,2022,10:43:50,E Lh,Duggan eats spinach out of his left hand.
Maddie,Duggan,Emon,M,6,24,2022,10:48:19,E Rh,Duggan eats diet with his right hadn
Maddie,Duggan,Emon,M,6,24,2022,10:50:30,G Rh,Duggan grabs swing with his right hand
Furia,Thrax,Pcoq,M,6,24,2022,11:01:57,E Lh,Thrax eats chow from his left hand. He's locked in the CSB.
Furia,Thrax,Pcoq,M,6,24,2022,11:05:12,Other,Thrax and Furia are let out of the CSB
Furia,Thrax,Pcoq,M,6,24,2022,11:06:23,E Lh,Thrax eat diet out of left hand.
Furia,Thrax,Pcoq,M,6,24,2022,11:07:23,E Rh,Eat chow out of right hand
Furia,Thrax,Pcoq,M,6,24,2022,11:09:34,E Rh,Eat lettuce and chow from right hand.
Furia,Thrax,Pcoq,M,6,24,2022,11:10:13,E Lh,Eat peanut out of left hand
Furia,Thrax,Pcoq,M,6,24,2022,11:17:20,Bp Rf,Thrax moves bipedally with his right foot in front.
Furia,Thrax,Pcoq,M,6,24,2022,11:19:50,E Lh,Eat lettuce from left hand.
Furia,Thrax,Pcoq,M,6,24,2022,11:20:36,E Rh,Eat from right hand.
Furia,Thrax,Pcoq,M,6,24,2022,11:20:40,E Lh,Eat chow from left hand. Stop at 11:21:02
Furia,Thrax,Pcoq,M,6,24,2022,11:21:22,E Lh,Eat diet out of left hand. Stop at 11:21:34
Furia,Thrax,Pcoq,M,6,24,2022,11:21:58,E Lh Rh,"Eats very fast, using both hands"
Furia,Thrax,Pcoq,M,6,24,2022,11:22:16,E Lh,Eats with left hand
Furia,Thrax,Pcoq,M,6,24,2022,11:22:40,E Rh,Eats with right hand
Furia,Thrax,Pcoq,M,6,24,2022,11:23:37,E Lh,Eats out of left hand
Furia,Thrax,Pcoq,M,6,24,2022,11:24:10,E Lh,"Grabs food from bowl with left hand, then puts some in right hand."
Furia,Thrax,Pcoq,M,6,24,2022,11:26:47,E Lh,Eat lettuce from left hand
Furia,Thrax,Pcoq,M,6,24,2022,11:28:02,E Lh,Eat lettuce from left hand
Furia,Thrax,Pcoq,M,6,24,2022,11:28:44,E Rh,Eat with right hand (diet)
Furia,Thrax,Pcoq,M,6,24,2022,11:31:17,Bp Rf,Moves bipedally with right foot in front. Stop at 9:21:46
Furia,Thrax,Pcoq,M,6,24,2022,11:31:29,F Lh,Forages tulipopper plant with left hand. Stops at 11:34:44. Then starts again at 11:34:53
Furia,Thrax,Pcoq,M,6,24,2022,11:35:28,F Rh,Forages unknown grass with rght hand
Furia,Thrax,Pcoq,M,6,24,2022,11:37:37,F Lh,Forages dog fennel with left hand
Furia,Thrax,Pcoq,M,6,24,2022,11:39:31,F Rh,Forages dog fennel with right hand
Furia,Thrax,Pcoq,M,6,24,2022,11:39:41,F Lh,Forages dog fennel with left hand
Furia,Thrax,Pcoq,M,6,24,2022,11:41:20,F Rh,Forages dog fennel with right hand
Furia,Thrax,Pcoq,M,6,24,2022,11:43:10,F Lh,Forages dog fennel with left hand
Furia,Thrax,Pcoq,M,6,24,2022,11:44:06,F Lh,Forage dog fennel with left hand
Furia,Thrax,Pcoq,M,6,24,2022,11:45:46,F Rh,Forages dog fennel with right hand
Furia,Thrax,Pcoq,M,6,24,2022,11:46:19,F Lh,Forage dog fennel with left hand
Furia,Thrax,Pcoq,M,6,24,2022,11:47:22,F Rh,Forages dog fennel with right hand
Furia,Thrax,Pcoq,M,6,24,2022,11:48:53,F Lh,Forages at grass through fence with left hand
Furia,Thrax,Pcoq,M,6,24,2022,11:49:00,Bp Lf,Walks bipedally with left foot in front
Furia,Thrax,Pcoq,M,6,24,2022,11:52:17,R,Thrax rests
M,Sophia,Lcat,F,6,27,2022,8:24:22,Qp Rh,Sophia walks on 4 legs. Right hand is first to move.
M,Sophia,Lcat,F,6,27,2022,8:27:35,E F Lh,Sophia picks up a leaf and eats it from her left hand
M,Sophia,Lcat,F,6,27,2022,8:28:58,Qp Rh,Sophia turns around on pole. She starts walking with her right hand
M,Sophia,Lcat,F,6,27,2022,8:36:21,L Rh G,Sophia grabs top of outdoor wage with Rh to swing onto branch
M,Sophia,Lcat,F,6,27,2022,8:37:04,Qp Rh,"Starts walking for a short period, Rh first"
M,Sophia,Lcat,F,6,27,2022,8:38:07,Qp Rh,Sophia walks on 4 legs. Right hand is first to move.
M,Sophia,Lcat,F,6,27,2022,8:44:01,G Lh,Grab branch in outdoor cage with right hand
M,Sophia,Lcat,F,6,27,2022,8:46:59,Qp Lf,"Walk on 4 legs, Rh first."
M,Sophia,Lcat,F,6,27,2022,8:48:43,Cl Rf,Cross legs with right foot on top
M,Sophia,Lcat,F,6,27,2022,9:09:00,La Lf,Land on ground with left foot touching ground first
M,Sophia,Lcat,F,6,27,2022,9:12:37,Cl Rf,Cross legs with right foot on top
M,Sophia,Lcat,F,6,27,2022,9:12:59,F Rh,Randy forage for pine needles with right hand
M,Sophia,Lcat,F,6,27,2022,9:18:17,F Lh,Sophia forages with her left hand
M,Randy,Lcat,M,6,27,2022,9:27:26,Qp Lh,
M,Randy,Lcat,M,6,27,2022,9:32:44,G Lh,Grasp fence with left hand
M,Randy,Lcat,M,6,27,2022,9:42:10,La Lh,Land on camp stool with left hand first
M,Randy,Lcat,M,6,27,2022,9:44:38,Sg Li Lh,Self grooms by licking spur on left hand.
M,Randy,Lcat,M,6,27,2022,9:46:03,Sg Li Rh,Licking and chewing spur on left hand
M,Randy,Lcat,M,6,27,2022,9:48:47,Sg Li Lh,Lick spur on left hand
M,Randy,Lcat,M,6,27,2022,9:53:07,Sg Lh,Groom left hand with mouth
M,Randy,Lcat,M,6,27,2022,9:53:59,Rh Lh F,"Randy grabs his poop with his right hand and licks it. He does this for about 5 minutes, always grabbing with his right hand."
M,Randy,Lcat,M,6,27,2022,9:59:45,F Rh E,"Forage for pinecone with right hand. Eats with both hands at first, then moves to just right hand."
M,Randy,Lcat,M,6,27,2022,10:01:11,Qp Lh,Walk on all 4's starting with left hand
M,Randy,Lcat,M,6,27,2022,10:02:32,Qp Lh,"Walk on all 4's starting with left hand/right foot. I realized at this point the the catta walk in a diagonal pattern, so the hand walks with the foot on the opposite site."
M,Randy,Lcat,M,6,27,2022,10:08:07,G Rh,Grab branch with Rh first. He was really fast this time so I'm not positive! But I think Rh first.
Furia,Furia,Pcoq,F,6,27,2022,10:45:01,E Rh,Eat unknown plant with right hand
Furia,Furia,Pcoq,F,6,27,2022,10:46:18,G Lh R,Holds branch with left hand while resting.
Furia,Furia,Pcoq,F,6,27,2022,10:52:02,Sg Rf,Scratch ear with left foot. Lick left foot.
Furia,Furia,Pcoq,F,6,27,2022,11:03:51,Sg Rh,Touch face with right hand
Furia,Furia,Pcoq,F,6,27,2022,11:11:42,Sg Rf,Scratch ear with right foot
Furia,Furia,Pcoq,F,6,27,2022,11:29:22,G Lh R,Hold branch with left hand on top while resting
Furia,Furia,Pcoq,F,6,27,2022,11:30:25,Bp Rf,"Walks on 2 legs, right foot in front"
Furia,Furia,Pcoq,F,6,27,2022,11:32:33,Bp Lf,"Walks on 2 legs, left foot in front"
Furia,Furia,Pcoq,F,6,27,2022,11:32:54,G Lh,Grasp branch with left hand
Furia,Furia,Pcoq,F,6,27,2022,11:33:19,G Rh F,Grasp leaves with left hand
Furia,Furia,Pcoq,F,6,27,2022,11:33:34,E Lh,Eat leaves from left hand. Stop at 11:35:37
Furia,Furia,Pcoq,F,6,27,2022,11:38:31,G Rf,Grasp branch with right foot on on top of left foot. Resting and holding the branch with both feet
P,Rico,Emon,M,6,28,2022,8:59:00,G Lf,"Whole holding branch with 3 limbs, reaches out and grasps leaves with left hand."
P,Rico,Emon,M,6,28,2022,8:59:57,G Lf,"Whole holding branch with 3 limbs, reaches out and grasps leaves with left hand."
P,Rico,Emon,M,6,28,2022,9:03:44,G Rh L,Leap and grasp branch with right hand on top
P,Rico,Emon,M,6,28,2022,9:05:07,G Lh,Take pine needle out of water bowl with left hand
P,Rico,Emon,M,6,28,2022,9:06:08,G Lh,"Take pine needle out of water bowl eith left hand, then use right hand"
P,Rico,Emon,M,6,28,2022,9:07:43,L G Lh,Leap and grasp branch with left hand on top
P,Rico,Emon,M,6,28,2022,9:08:21,F G Rh,"Grasp bamboo leaf with tight hand, then switch to left hand. Holding onto tree with 3 limbs."
P,Rico,Emon,M,6,28,2022,9:08:55,G F Bh,Grasp bamboo with both hands at the same time. Hold tree with 2 limbs (feet)
P,Rico,Emon,M,6,28,2022,9:09:18,G Rh F,Grasp bamboo with right hand. Hold tree with 3 other limbs
P,Rico,Emon,M,6,28,2022,9:10:01,G Rh F,Grasp bamboo with right hand. Hold tree with 3 other limbs
P,Rico,Emon,M,6,28,2022,9:11:16,G Rh F,Grasp bamboo with right hand. Hold tree with 3 other limbs
P,Rico,Emon,M,6,28,2022,9:11:55,G Rh F,Grasp silverberry leaf with right hand. Hold tree with 3 other limbs
P,Rico,Emon,M,6,28,2022,9:12:28,G Rh F,Grasp silverberry leaf with right hand. Hold tree with 3 other limbs. Then add left hand.
P,Rico,Emon,M,6,28,2022,9:13:12,G Rh F,Grasp silverberry leaf with right hand. Hold tree with 3 other limbs.
P,Rico,Emon,M,6,28,2022,9:13:52,G Rh F,Grasp silverberry leaf with right hand. Hold tree with 3 other limbs.
P,Rico,Emon,M,6,28,2022,9:14:14,L G Rh,Leap to branch. Grasp with right hand on top.
P,Rico,Emon,M,6,28,2022,9:14:48,G Rh F E,Grasp and eat silverberry branch with right hand. Hold tree with 3 other limbs.
P,Rico,Emon,M,6,28,2022,9:15:16,G F Lh,Grasp silverberry branch with left hand. Hold tree with 3 other limbs.
P,Rico,Emon,M,6,28,2022,9:15:54,G F Rh E,Grasp and eat silverberry branch with right hand. Hold tree with 3 other limbs.
