"Troop            (A, B, C, D...)",Focal Lemur,Species,Sex,Month,Day,Year,Time (H:M:S),Category,"Focal sample note                                                                                                                                                     (please include as much detail as possible.  If a note is about a grooming bout, for example, include stop time in the same cell)"
P,Rico,Emon,M,6,28,2022,9:16:58,G F Lh,Grasp silverberry branch with left hand. Hold tree with 3 other limbs.
P,Rico,Emon,M,6,28,2022,9:17:13,G F Rh,Grasp silverberry branch with right hand. Hold tree with 3 other limbs.
P,Rico,Emon,M,6,28,2022,9:17:33,G F Lh,Grasp silverberry branch with left hand. Hold tree with 3 other limbs.
P,Rico,Emon,M,6,28,2022,9:17:50,G F Rh E,Grasp and eat silverberry branch with right hand. Hold tree with 3 other limbs.
P,Rico,Emon,M,6,28,2022,9:18:08,G F Rh E,Grasp and eat silverberry branch with right hand. Hold tree with 3 other limbs.
P,Rico,Emon,M,6,28,2022,9:18:20,G F Rh E,Grasp and eat silverberry branch with right hand. Hold tree with 3 other limbs.
P,Rico,Emon,M,6,28,2022,9:18:48,G F Lh,Grasp silverberry branch with left hand. Hold tree with 3 other limbs.
P,Rico,Emon,M,6,28,2022,9:19:09,G F Rh,Grasp silverberry branch with right hand. Hold tree with 3 other limbs.
P,Rico,Emon,M,6,28,2022,9:19:30,G F Rh,Grasp silverberry branch with right hand. Hold tree with 3 other limbs.
P,Rico,Emon,M,6,28,2022,9:19:51,G Lh F,"Grasp silverberry with left hand, then hold with both hands."
P,Rico,Emon,M,6,28,2022,9:20:12,G Lh F,"Grasp silverberry with left hand, then hold with both hands."
P,Rico,Emon,M,6,28,2022,9:20:53,G Rh F,Grasp silverberry with right hand
P,Rico,Emon,M,6,28,2022,9:23:02,G Rh F,Hold branch with 3 other limbs
P,Rico,Emon,M,6,28,2022,9:23:58,G Lh F,"Grasp branch with left hand, then add right hand. Hold tree with 3 other limbs."
P,Rico,Emon,M,6,28,2022,9:24:44,G Lh F,Grasp bamboo leaf with left hand. Hold tree with 3 other limbs.
P,Rico,Emon,M,6,28,2022,9:25:26,G Lh F E,Grasp silverberry branch with and eat with left hand. Hold tree with 3 other limbs.
P,Rico,Emon,M,6,28,2022,9:25:55,G Lh F E,Grasp silverberry branch with and eat with left hand. Hold tree with 3 other limbs.
P,Rico,Emon,M,6,28,2022,9:26:05,G Rh F E,Grasp silverberry branch with and eat with right hand. Hold tree with 3 other limbs.
P,Rico,Emon,M,6,28,2022,9:35:36,G Rh,Grasp silverberry branch with right hand. Hold tree with 3 other limbs.
P,Rico,Emon,M,6,28,2022,9:30:12,G Lh,Grasp silverberry branch with left hand. Hold tree with 3 other limbs.
P,Rico,Emon,M,6,28,2022,9:31:12,G Rh L,Grasp bamboo tree with right hand on top. Hold tree with 3 other limbs.
P,Rico,Emon,M,6,28,2022,9:53:25,G Rh,Grasp pine tree branch with right hand on top. Hold tree with 3 other limbs.
P,Carolina,Emon,F,6,28,2022,9:57:25,L G Lh,Leap to bamboo branch holding it with left hand on top.
P,Carolina,Emon,F,6,28,2022,9:58:52,L G Rh,Leap to bamboo branch holding it with right hand on top. Does this twice.
P,Carolina,Emon,F,6,28,2022,9:59:46,L G Rh,Leap to bamboo branch holding it with right hand on top.
P,Carolina,Emon,F,6,28,2022,10:11:30,L G Lh,Leap to bamboo branch holding it with left hand on top.
P,Carolina,Emon,F,6,28,2022,10:14:33,L G,"Leap accross bamboo trees: Left hand top, left hand top, right hand top."
P,Carolina,Emon,F,6,28,2022,10:16:04,R Rh,Resting on tree with 3 limbs. Holding with both feet and right hand.
P,Carolina,Emon,F,6,28,2022,10:21:24,L Lh,Going down branch with left hand on top.
P,Carolina,Emon,F,6,28,2022,10:43:48,L G Rh,Moving accross bamboo with right hand on top.
P,Carolina,Emon,F,6,28,2022,10:44:16,L G Rh,Moving accross bamboo with right hand on top.
P,Carolina,Emon,F,6,28,2022,10:47:13,F G Rh,Grasp silverberry branch with right hand.
P,Carolina,Emon,F,6,28,2022,10:49:26,L G Lh,Leap to bamboo tree with left hand on top
Maddie,Maddie,Emon,F,6,28,2022,14:14:10,L Lh,Leap to branch with left hand on top.
Maddie,Maddie,Emon,F,6,28,2022,14:14:16,G Rh L,Grasp cage wire with right hand on top
Maddie,Maddie,Emon,F,6,28,2022,14:15:18,G L Rh,Grasp branch with right hand on top.
Maddie,Maddie,Emon,F,6,28,2022,14:19:07,L Rh Qp,Walk onto branch with right hand first.
Maddie,Maddie,Emon,F,6,28,2022,14:22:54,G Rh,Grasp branch with right hand on top.
Maddie,Maddie,Emon,F,6,28,2022,14:25:04,G Rh,Grasp branch with right hand. Hold onto lower branch with other 3 limbs.
Maddie,Maddie,Emon,F,6,28,2022,14:29:00,G Bh,"Grasp cage wire with both hands. Then rest, holding it with both feet."
Maddie,Maddie,Emon,F,6,28,2022,14:47:50,Lh G L,"Grab ""door frame"" to indoor enclosure with left hand"
Maddie,Maddie,Emon,F,6,28,2022,14:50:59,G Rh E,Grab and eat chow with right hand
Maddie,Maddie,Emon,F,6,28,2022,14:51:19,E Rh,Eat chow out of right hand
Maddie,Maddie,Emon,F,6,28,2022,14:52:14,G Rh E,Grasp and eat chow with right hand.
Maddie,Maddie,Emon,F,6,28,2022,14:52:40,G Rh E,Grasp and eat chow with right hand.
Maddie,Maddie,Emon,F,6,28,2022,14:53:02,G Rh E,Grasp and eat chow with right hand.
Maddie,Maddie,Emon,F,6,28,2022,14:56:10,Lh G L,Grasp branch with left hand
Maddie,Maddie,Emon,F,6,28,2022,15:20:00,E Rh,Eat pineapple with right hand
Maddie,Maddie,Emon,F,6,28,2022,15:01:21,E Lh,Eat banana slice with left hand
Maddie,Maddie,Emon,F,6,28,2022,15:01:49,E Rh,Eat banana slice with right hand
Maddie,Maddie,Emon,F,6,28,2022,15:08:07,E Rh ,Eat banana slice with right hand
Maddie,Duggan,Emon,M,6,28,2022,15:00:00,E Rh,Eat pineapple with right hand
Maddie,Duggan,Emon,M,6,28,2022,15:02:02,E Rh,Eat banana slice with right hand
Maddie,Duggan,Emon,M,6,28,2022,15:05:32,E Rh,Eat banana slice with right hand
Maddie,Duggan,Emon,M,6,28,2022,15:06:00,Other Rh,Tries to take enrichment item from Clarence
Maddie,Duggan,Emon,M,6,28,2022,15:07:30,E Rh,Eats food from enrichment item from right hand
Maddie,Duggan,Emon,M,6,28,2022,15:09:20,G Rh E,Eat food from enrichment item from right hand
Maddie,Duggan,Emon,M,6,28,2022,15:24:56,R,Duggan has been resting for a while now
Maddie,Duggan,Emon,M,6,28,2022,15:45:00,G Rh L,Grasp branch with right hand
Maddie,Duggan,Emon,M,6,28,2022,15:46:14,G Rh,Grasp enrichment item with right hand
X,Licinius,Lcat,M,6,29,2022,8:33:15,G Rh L,Grasp branch with right hand on top
X,Licinius,Lcat,M,6,29,2022,8:33:57,G Lh E,Grasp and eat maple leaf with left hand. Holding tree with 4 limbs total.
X,Licinius,Lcat,M,6,29,2022,8:34:17,E Rh,Eat maple leaf with right hand. Holding tree with 4 limbs total.
X,Licinius,Lcat,M,6,29,2022,8:38:18,G Rh,Grasp maple leaf with right hand. Holding tree with 4 limbs total.
X,Licinius,Lcat,M,6,29,2022,8:43:42,G Rh E,Grasp and eat maple leaf with right hand. Holding tree with 4 limbs total.
X,Licinius,Lcat,M,6,29,2022,8:48:47,L Lh,Locomote down tree with left hand on top
X,Licinius,Lcat,M,6,29,2022,8:49:22,L Rh G,Jump to other tree branch with right hand on top.
X,Licinius,Lcat,M,6,29,2022,8:50:41,G Rh,Hold onto branch with right hand on top while resting. Holding tree with 4 limbs total.
X,Licinius,Lcat,M,6,29,2022,8:52:56,G Lh,Grasp tree with left hand on top
X,Licinius,Lcat,M,6,29,2022,9:01:51,G Rh,Grasp tree with right hand on top
X,Licinius,Lcat,M,6,29,2022,9:07:42,L G Lh,Grasp tree with left hand on top.
X,Licinius,Lcat,M,6,29,2022,9:11:53,G Rh F,Grasp branch with right hand while foraging.
X,Licinius,Lcat,M,6,29,2022,9:13:24,G Rh F,Grasp branch with right hand while foraging.
X,Licinius,Lcat,M,6,29,2022,9:14:26,G Lh F E,Grasp branch with left hand to eat from
X,Licinius,Lcat,M,6,29,2022,9:16:27,G F E,Grasp branch with both hands and eat (grapevine)
X,Licinius,Lcat,M,6,29,2022,9:17:58,G Lh F E,Grasp branch with left hand on top and eat (grapevine)
X,Licinius,Lcat,M,6,29,2022,9:18:54,G Lh F E,Grasp grapevine branch with left hand and eat.
X,Licinius,Lcat,M,6,29,2022,9:23:47,G Rh R,Rest while holding onto branch with all 4 limbs. Right hand on top.
X,Licinius,Lcat,M,6,29,2022,9:28:45,L Rh,Climb up tree with right hand on top.
X,Sierra Mist,Lcat,F,6,29,2022,9:36:47,Rh L Qp,Moves on all 4's starting with right hand
X,Sierra Mist,Lcat,F,6,29,2022,9:39:00,F G Rh E,Grasp and eat grass with rigth hand
X,Sierra Mist,Lcat,F,6,29,2022,9:39:18,F G Rh E,Grasp and eat grass with rigth hand
X,Sierra Mist,Lcat,F,6,29,2022,9:49:30,G Rh,Grasp branch with right hand. Sitting with 2 feet. Holding onto branch with 3 limbs total (all except left hand)
X,Sierra Mist,Lcat,F,6,29,2022,9:59:24,G Lh F,"Grasp branch with both hands, but left hand on top."
X,Sierra Mist,Lcat,F,6,29,2022,9:59:46,G Rh L,"Whole locomoting, grasp branch with right hand on top"
X,Sierra Mist,Lcat,F,6,29,2022,10:01:18,G Lh F E,"Grasp and eat from silverberry branch with both hands, but left hand on top."
X,Sierra Mist,Lcat,F,6,29,2022,10:01:49,G Lh E F,Grasp and eat from silverberry branch with left hand.
X,Sierra Mist,Lcat,F,6,29,2022,10:02:11,G Rh F E,Grasp and eat from silverberry branch with right hand.
X,Sierra Mist,Lcat,F,6,29,2022,10:02:36,G E,Grasp branch with left hand and eat. Put right hand on top after grasping.
X,Sierra Mist,Lcat,F,6,29,2022,10:03:42,G Rh F E,Grasp silverberry branch with right hand on top and eat.
X,Sierra Mist,Lcat,F,6,29,2022,10:03:54,G Lh F E,Grasp silverberry branch with left hand on top and eat. Steadying branch with right hand on bottom.
X,Sierra Mist,Lcat,F,6,29,2022,10:06:05,G Rh,"Grasp mesh fence with both hands, but right hand above left hand."
Maddie,Maddie,Emon,F,6,29,2022,10:45:33,L Qp Rh,"Walk on 4 legs, moving right hand first."
Maddie,Maddie,Emon,F,6,29,2022,10:48:50,G E Rh,Grasp and eat chow with right hand.
Maddie,Maddie,Emon,F,6,29,2022,11:09:52,R,Maddie has just been resting for a while now :/
Maddie,Maddie,Emon,F,6,29,2022,11:12:47,L Voc,Maddie's just walking around and grunting :/
Maddie,Maddie,Emon,F,6,29,2022,11:16:52,G R,Grasping wire mesh with all 4 limbs and resting
Maddie,Maddie,Emon,F,6,29,2022,11:32:57,Sg Li Lh,Self grooms by licking left hand. Stops at 11:33:12
P,Carolina,Emon,F,6,30,2022,8:19:06,G F Rh,"Grab silverberry with right hand on top, holding with both hands."
P,Carolina,Emon,F,6,30,2022,8:23:54,G F Lh E,Grab silverberry with left hand and eat
P,Carolina,Emon,F,6,30,2022,8:25:00,G F Rh,Grasp silverberry with right hand on top
P,Carolina,Emon,F,6,30,2022,8:25:26,G F Rh E,Grasp silverberry with right hand and eat
P,Carolina,Emon,F,6,30,2022,8:25:47,G F Lh E,Grasp silverberry with left hand and eat
P,Carolina,Emon,F,6,30,2022,8:26:42,G F E Rh,Grasp silverberry with right hand and eat
P,Carolina,Emon,F,6,30,2022,8:27:13,G F Lh E,Grasp silverberry plant with left hand and eat
P,Carolina,Emon,F,6,30,2022,8:27:44,G F Rh,Grasp silverberry with right hand on top
P,Carolina,Emon,F,6,30,2022,8:28:14,G F Rh,Grasp silverberry with right hand on top
P,Carolina,Emon,F,6,30,2022,8:28:29,G F Rh E,Grasp and eat silverberry with right hand on top
P,Carolina,Emon,F,6,30,2022,8:30:44,G F Lh,Grasp silverberry with left hand on top
P,Carolina,Emon,F,6,30,2022,8:31:35,G F Lh Rh,"Grasp silverberry with left hand first, then right hand on top"
P,Carolina,Emon,F,6,30,2022,8:32:10,G F Lh Rh,"Grasp silverberry with right hand first, then left hand on top"
P,Carolina,Emon,F,6,30,2022,8:33:14,G F Rh,Grasp silverberry plant with right hand
P,Carolina,Emon,F,6,30,2022,8:34:00,G F Rh,Grasp silverberry plant with right hand
P,Carolina,Emon,F,6,30,2022,8:36:00,G F Lh,Grasp silverberry plant with left hand
P,Carolina,Emon,F,6,30,2022,8:36:13,G F Rh,Grasp silverberry plant with right hand
P,Carolina,Emon,F,6,30,2022,8:36:42,G F Rh,Grasp silverberry with right hand
P,Carolina,Emon,F,6,30,2022,8:37:22,L Rh,Leap 4 times from tree-to-tree with right hand on top
P,Carolina,Emon,F,6,30,2022,8:39:43,L Lh,Leap to tree with left hand on top
P,Carolina,Emon,F,6,30,2022,8:42:44,L Rh,Moving down tree with right hand on top
P,Carolina,Emon,F,6,30,2022,8:43:36,Lh F G E,Forage and eat evergreen leaves with left hand
P,Carolina,Emon,F,6,30,2022,8:43:49,Rh F G E,Forage and eat evergreen leaves with right hand
P,Carolina,Emon,F,6,30,2022,8:45:37,R G Lh,Rest while holding branch with left hand
P,Carolina,Emon,F,6,30,2022,8:52:38,G L Rh,"Grasp branch with right hand first, then left hand, then climb up."
P,Carolina,Emon,F,6,30,2022,8:53:24,Lh L G,Leap to tree and grasp with left hand on top
P,Carolina,Emon,F,6,30,2022,8:55:54,E Lh,Eat unknown berry with left hand
P,Carolina,Emon,F,6,30,2022,9:05:46,Rh L,Leap with right hand on top of branch
P,Rico,Emon,M,6,30,2022,9:19:07,R Rh G,Rest while clinging onto branch with right hand on top
P,Rico,Emon,M,6,30,2022,9:20:14,G Rh F,Forage oak leaves with right hand
P,Rico,Emon,M,6,30,2022,9:21:37,G Lh F E,Forage and eat oak hands with left hand
P,Rico,Emon,M,6,30,2022,9:22:34,G Lh F E,Forage and eat oak hands with left hand
P,Rico,Emon,M,6,30,2022,9:26:53,G Rh L F,"Grasp oak twig with left hand, but did not eat"
P,Rico,Emon,M,6,30,2022,9:28:53,L Lh,Leap to tree with left hand on top
P,Rico,Emon,M,6,30,2022,9:29:41,F G Lh,Forage silverberry with left hand
P,Rico,Emon,M,6,30,2022,9:31:26,F G Rh,Forage silverberry with right hand
P,Rico,Emon,M,6,30,2022,9:32:42,G Lh R,Rest on tree. Cling to tree with left hand on top
P,Rico,Emon,M,6,30,2022,9:33:04,Rh R G,Rest on tree with right hand on top
P,Rico,Emon,M,6,30,2022,9:33:34,Lh G F E,Forage and eat bamboo leaf with left hand
P,Rico,Emon,M,6,30,2022,9:55:20,Lh G F E,Forage and eat bamboo leaf with left hand
P,Rico,Emon,M,6,30,2022,9:35:57,Lh L G,Leap with left hand on top of branch
P,Rico,Emon,M,6,30,2022,9:36:48,Rh L G,Leap with right hand on top of branch
P,Rico,Emon,M,6,30,2022,9:37:12,G F,"Forage. Grasp with right hand first, then add left hand and have left hand on top."
P,Rico,Emon,M,6,30,2022,9:37:40,G F Lh,Forage silverberry with left hand
P,Rico,Emon,M,6,30,2022,9:38:13,G F Lh E,Forage and eat silverberry with left hand
P,Rico,Emon,M,6,30,2022,9:38:31,G F Rh,Forage silverberry with right hand
P,Rico,Emon,M,6,30,2022,9:39:02,G F Rh,Forage silverberry with right hand
P,Rico,Emon,M,6,30,2022,9:39:24,G F Rh,Forage silverberry with right hand
P,Rico,Emon,M,6,30,2022,9:39:44,G F Lh,Forage silverberry with left hand
P,Rico,Emon,M,6,30,2022,9:40:28,G Rh,Reach for silverberry with right hand
P,Rico,Emon,M,6,30,2022,9:43:44,Rh R G,Rest on branch with right hand on top
P,Rico,Emon,M,6,30,2022,10:06:32,L Lh,Leap three times with left hand on top
P,Rico,Emon,M,6,30,2022,10:07:12,G F Rh,Forage silverberry with right hand
P,Rico,Emon,M,6,30,2022,10:07:39,G F Lh,Forage silverberry with left hand
P,Rico,Emon,M,6,30,2022,10:09:18,G F Rh E,Forage and eat bamboo with right hand
P,Rico,Emon,M,6,30,2022,10:09:42,G F Rh E,Forage and eat bamboo with right hand
P,Rico,Emon,M,6,30,2022,10:10:13,G F Rh,Forage silverberry with right hand
P,Rico,Emon,M,6,30,2022,10:11:27,G F Rh,Forage bamboo with right hand
P,Rico,Emon,M,6,30,2022,10:11:57,G F Lh,Forage silverberry with left hand
P,Rico,Emon,M,6,30,2022,10:12:09,G Lh R,Rest on tree. Cling to tree with left hand on top
P,Rico,Emon,M,6,30,2022,10:12:59,Rh L,Leap to tree with right hand on top
P,Rico,Emon,M,6,30,2022,10:13:37,G F Lh E,Forage and eat silverberry with left hand
P,Rico,Emon,M,6,30,2022,10:14:40,G F Rh,Forage silverberry with right hand
P,Rico,Emon,M,6,30,2022,10:15:04,G F Lh E,Forage and eat silverberry with left hand
P,Rico,Emon,M,6,30,2022,10:15:34,G F Rh,Forage silverberry with right hand
P,Rico,Emon,M,6,30,2022,10:16:13,G F Rh,Forage silverberry with right hand
P,Rico,Emon,M,6,30,2022,10:16:40,G F Rh,Forage silverberry with right hand
P,Rico,Emon,M,6,30,2022,10:16:55,G F Rh,Forage silverberry with right hand
P,Rico,Emon,M,6,30,2022,10:17:19,G F Rh,Forage silverberry with right hand
P,Rico,Emon,M,6,30,2022,10:17:51,G F Rh,Forage silverberry with right hand
P,Rico,Emon,M,6,30,2022,10:18:18,G F Rh,Forage silverberry with right hand
P,Rico,Emon,M,6,30,2022,10:18:31,G F Rh,Forage silverberry with right hand
M,Sophia,Lcat,F,6,30,2022,10:24:18,CL Rf,Cross legs with right foot on top. Stop at 10:25:48
M,Sophia,Lcat,F,6,30,2022,10:35:29,Cl Rf,Cross legs with right foot on top
M,Sophia,Lcat,F,6,30,2022,10:36:57,G Lh E,Get chow out of bowl with mouth. Take chow out of mouth with left hand and eat from left hand.
M,Sophia,Lcat,F,6,30,2022,10:38:56,G Lh E,Get chow out of bowl with mouth. Take chow out of mouth with left hand and eat from left hand.
M,Sophia,Lcat,F,6,30,2022,10:41:32,G Lh E,Get chow out of bowl with mouth. Take chow out of mouth with left hand and eat from left hand.
M,Sophia,Lcat,F,6,30,2022,10:42:35,G Lh E,Get chow out of bowl with mouth. Take chow out of mouth with left hand and eat from left hand.
M,Sophia,Lcat,F,6,30,2022,10:47:30,G Lh E,Get chow out of bowl with mouth. Take chow out of mouth with left hand and eat from left hand.
M,Sophia,Lcat,F,6,30,2022,10:57:02,G Lh E,Get chow out of bowl with mouth. Take chow out of mouth with left hand and eat from left hand.
M,Sophia,Lcat,F,6,30,2022,11:01:59,G Lh E,Get chow out of bowl with mouth. Take chow out of mouth with left hand and eat from left hand.
Furia,Thrax,Pcoq,M,7,1,2022,8:54:53,G Rh R,Rest while grasping pole with right hand
Furia,Thrax,Pcoq,M,7,1,2022,8:57:40,Bp Rf,"Bipedal locomotion, left foot in front"
Furia,Thrax,Pcoq,M,7,1,2022,8:59:11,Bp Rf,"Bipedal locomotion, left foot in front"
Furia,Thrax,Pcoq,M,7,1,2022,9:02:17,G Lh R,Rest while grasping fence mesh with left hand. Sitting on ground
Furia,Thrax,Pcoq,M,7,1,2022,9:05:40,Bp Lf,"Bipedal locomotion, left foot in front. Stop at 9:05:51"
Furia,Thrax,Pcoq,M,7,1,2022,9:07:08,BP Lf,"Bipedal locomotion, left foot in front. Stop at 9:07:54"
Furia,Thrax,Pcoq,M,7,1,2022,9:07:43,Bp Lf,"Bipedal locomotion, left foot in front"
Furia,Thrax,Pcoq,M,7,1,2022,9:10:04,Bp Lf,"Bipedal locomotion, left foot in front"
Furia,Thrax,Pcoq,M,7,1,2022,9:10:14,F G Lh E,Forage and eat unknown leaf. Left hand on top right hand supporting botton of branch
Furia,Thrax,Pcoq,M,7,1,2022,9:12:39,F G Rh E,Forage and eat unknown leaf with right hand.
Furia,Thrax,Pcoq,M,7,1,2022,9:12:49,F G Lh E,Forage and eat unknown leaf with left hand
Furia,Thrax,Pcoq,M,7,1,2022,9:13:15,E Rh,Eat unknown leaf with right hand
Furia,Thrax,Pcoq,M,7,1,2022,9:13:25,F G Lh E,Forage and eat unknown leaf with left hand. Stop at 9:15:11
Furia,Thrax,Pcoq,M,7,1,2022,9:15:14,F G Rh E,Forage and eat unknown leaf with right hand.
Furia,Thrax,Pcoq,M,7,1,2022,9:15:39,F G Lh E,Switch hands. Now forage and eat unknown leaf with left hand. Stop at 9:15:38
Furia,Thrax,Pcoq,M,7,1,2022,9:16:04,F G Lh E,Forage and eat with left hand
Furia,Thrax,Pcoq,M,7,1,2022,9:16:22,F G Lh E,Forage and eat with left hand
Furia,Thrax,Pcoq,M,7,1,2022,9:16:36,F G Rh E,Forage and eat with right hand
Furia,Thrax,Pcoq,M,7,1,2022,9:16:52,F G Lh E,Forage and eat with left hand
Furia,Thrax,Pcoq,M,7,1,2022,9:17:21,F G Lh E,Forage and eat with left hand
Furia,Thrax,Pcoq,M,7,1,2022,9:18:13,F G Rh E,Forage and eat with right hand
Furia,Thrax,Pcoq,M,7,1,2022,9:18:23,F G Lh E,Forage and eat with left hand
Furia,Thrax,Pcoq,M,7,1,2022,9:18:41,F G E Rh,Forage and eat with right hand on top. Stop at 9:19:14
Furia,Thrax,Pcoq,M,7,1,2022,9:19:28,F G E Rh,Forage and eat with right hand
Furia,Thrax,Pcoq,M,7,1,2022,9:19:39,F G Lh E,Forage and eat with left hand
Furia,Thrax,Pcoq,M,7,1,2022,9:20:03,F G E Rh,Forage and eat with right hand. Stop at 9:21:34
Furia,Thrax,Pcoq,M,7,1,2022,9:21:53,BP Rf,Walk bipedally with right foot in front. Stop at 9:22:11
Furia,Thrax,Pcoq,M,7,1,2022,9:23:15,BP Rf,Walk bipedally with right foot in front. Stop at 9:23:22
Furia,Thrax,Pcoq,M,7,1,2022,9:26:22,CL Rf,Cross legs with right foot on top. Stop at 9:26:40
Furia,Thrax,Pcoq,M,7,1,2022,9:27:04,BP Rf,Walk bipedally with right foot in front. 
Furia,Thrax,Pcoq,M,7,1,2022,9:27:19,G Lh,Grasp fence mesh with left hand on top. Grasping with all 4 limbs
Furia,Thrax,Pcoq,M,7,1,2022,9:28:21,G Lh R,Grasp pole with left hand while sitting
Furia,Thrax,Pcoq,M,7,1,2022,9:28:59,G Rh R,Switch to grasp pole with right hand while sitting.
Furia,Thrax,Pcoq,M,7,1,2022,9:29:10,G Lh R,Switch to grasp pole with left hand while sitting. Stop at 9:29:29
Furia,Thrax,Pcoq,M,7,1,2022,9:29:26,BP Lf,Walk bipedally with left foot in front
Furia,Thrax,Pcoq,M,7,1,2022,9:30:58,G Lh,Grasp wall with left hand on top (cling with all 4 limbs). Stop at 9:31:35
Furia,Thrax,Pcoq,M,7,1,2022,9:31:45,G Lh ,Grasp pole with left hand on top
Furia,Thrax,Pcoq,M,7,1,2022,9:32:11,G Rh,Switch to grasp pole with right hand on top
Furia,Thrax,Pcoq,M,7,1,2022,9:35:02,Bp Lf,Walk bipedally with left foot in front. Stop at 9:35:11
Furia,Thrax,Pcoq,M,7,1,2022,9:37:03,CL Rf,Cross legs with right foot on top. Stop at 9:38:43
Furia,Thrax,Pcoq,M,7,1,2022,9:38:49,Bp Rf,Walk bipedally with right foot in front. Stop at 9:38:54
Furia,Thrax,Pcoq,M,7,1,2022,9:41:05,G Rh,Grasp pole with right hand on top(cling with all 4 limbs) stop at 9:43:15
Furia,Thrax,Pcoq,M,7,1,2022,9:43:42,G Lh,Cling to pole with all 4 limbs. Left hand on top
Furia,Thrax,Pcoq,M,7,1,2022,9:43:59,G Rh,Switch to right hand is on top while clinging to pole.
Furia,Thrax,Pcoq,M,7,1,2022,9:50:23,G Rh,Cling to pole with all 4 limbs. Right hand on top. Stop at 9:50:41
Furia,Furia,Pcoq,F,7,1,2022,9:51:48,G Rh,Grasp pole with right hand on top(cling with all 4 limbs) stop at 9:43:15
Furia,Furia,Pcoq,F,7,1,2022,9:52:49,G Lh,Grasp pole with left hand on top. Sitting and holding pole with all limbs except for right hand.
Furia,Furia,Pcoq,F,7,1,2022,9:52:54,G Rh,Grasp pole with both feet and with right hand. Left hand free. Stop at 9:53:27
Furia,Furia,Pcoq,F,7,1,2022,9:54:33,G Rh,Grasp pole with both feet and with right hand. Left hand free.
